Title,Release_Date,release_year,Vote_Average,Popularity,Vote_Count,Original_Language,Genre,genres_list,main_genre,Overview,Poster_Url,combined_features
Ugetsu,1953-03-26,1953,8.1,16.123,392,ja,"Fantasy, Drama, Mystery","['Fantasy', 'Drama', 'Mystery']",Fantasy,"In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama.",https://image.tmdb.org/t/p/original/7Kk1ZsrAul2Lg7Pe45XOcUf2ARQ.jpg,"fantasy drama mystery in 16th century japan, peasants genjuro and tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. genjuro's pursuit of both riches and the mysterious lady wakasa, as well as tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, miyagi and ohama."
The Gallows,2015-07-10,2015,5.0,16.121,808,en,"Horror, Thriller","['Horror', 'Thriller']",Horror,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.",https://image.tmdb.org/t/p/original/4oBk2DsYRO0VuloOX52ROmz2QhU.jpg,"horror thriller 20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone."
The Beatles: Eight Days a Week - The Touring Years,2016-09-15,2016,7.6,16.12,282,en,Documentary,['Documentary'],Documentary,"The Beatles stormed through Europe's music scene in 1963, and, in 1964, they conquered America. Their groundbreaking world tours changed global youth culture forever and, arguably, invented mass entertainment as we know it today. All the while, the group were composing and recording a series of extraordinarily successful singles and albums. However the relentless pressure of such unprecedented fame, that in 1966 became uncontrollable turmoil, led to the decision to stop touring. In the ensuing years The Beatles were then free to focus on a series of albums that changed the face of recorded music.",https://image.tmdb.org/t/p/original/A6q7Jy4vXgXXoCoHX4lpCaKvcMV.jpg,"documentary the beatles stormed through europe's music scene in 1963, and, in 1964, they conquered america. their groundbreaking world tours changed global youth culture forever and, arguably, invented mass entertainment as we know it today. all the while, the group were composing and recording a series of extraordinarily successful singles and albums. however the relentless pressure of such unprecedented fame, that in 1966 became uncontrollable turmoil, led to the decision to stop touring. in the ensuing years the beatles were then free to focus on a series of albums that changed the face of recorded music."
The Painted Veil,2006-01-01,2006,7.3,16.12,920,en,"Romance, Drama","['Romance', 'Drama']",Romance,"A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife.",https://image.tmdb.org/t/p/original/k41IvHDLgZO2ae7RuU77wQjScIj.jpg,"romance drama a british medical doctor fights a cholera outbreak in a small chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife."
Blancanieves,2012-09-21,2012,7.3,16.115,188,es,"Drama, Fantasy","['Drama', 'Fantasy']",Drama,"A black and white silent movie, based on the Snow White fairy tale, that is set in a romantic version of 1920s Seville and centered on a female bullfighter.",https://image.tmdb.org/t/p/original/64vBklpYgksumhSwrJdTvHeySfS.jpg,"drama fantasy a black and white silent movie, based on the snow white fairy tale, that is set in a romantic version of 1920s seville and centered on a female bullfighter."
Darkman,1990-08-24,1990,6.4,16.11,971,en,"Action, Science Fiction, Crime","['Action', 'Science Fiction', 'Crime']",Action,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.",https://image.tmdb.org/t/p/original/rDpyKkWYIT4RH9dqg5YYSof3coE.jpg,"action science fiction crime dr. peyton westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. having been burned beyond recognition and forever altered by an experimental medical procedure, westlake becomes known as darkman, assuming alternate identities in his quest for revenge and a new life with a former love."
Project A: Part II,1987-08-19,1987,7.1,16.109,178,cn,"Action, Comedy","['Action', 'Comedy']",Action,"Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt police superintendent.",https://image.tmdb.org/t/p/original/oY6wOuPmeeDoKjPdPlMwwmDCYmA.jpg,"action comedy dragon is now transferred to be the police head of sai wan district, and has to contend with a gangster kingpin, anti-manchu revolutionaries, some runaway pirates, manchu loyalists and a corrupt police superintendent."
Disaster Movie,2008-08-29,2008,3.3,16.109,809,en,Comedy,['Comedy'],Comedy,"The filmmaking team behind the hits ""Scary Movie,"" ""Date Movie,"" ""Epic Movie"" and ""Meet The Spartans"" this time puts its unique, inimitable stamp on one of the biggest and most bloated movie genres of all time -- the disaster film.",https://image.tmdb.org/t/p/original/3J8XKUfhJiNzwobUZVtizXYPe8b.jpg,"comedy the filmmaking team behind the hits ""scary movie,"" ""date movie,"" ""epic movie"" and ""meet the spartans"" this time puts its unique, inimitable stamp on one of the biggest and most bloated movie genres of all time -- the disaster film."
Charlie Wilson's War,2007-12-19,2007,6.6,16.109,1135,en,"Comedy, Drama, History","['Comedy', 'Drama', 'History']",Comedy,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",https://image.tmdb.org/t/p/original/45FghqcdSYRWK7PsHUInaFPNd8l.jpg,"comedy drama history the true story of texas congressman charlie wilson's covert dealings in afghanistan, where his efforts to assist rebels in their war with the soviets had some unforeseen and long-reaching effects."
Cry-Baby,1990-04-05,1990,6.6,16.108,1237,en,"Comedy, Music, Romance","['Comedy', 'Music', 'Romance']",Comedy,A prim and proper schoolgirl goes against her grandmother's wishes when she dates a motorcycle-riding juvenile delinquent.,https://image.tmdb.org/t/p/original/h30ngtEdTrRXvJBH5XxrehRZxzW.jpg,comedy music romance a prim and proper schoolgirl goes against her grandmother's wishes when she dates a motorcycle-riding juvenile delinquent.
